"","Aa","Ad","Ca","Mea","Med","AaAa","AaAd","AdAd","CaAa","CaAd"
"305","0","9.57736283328625e-15","0","3.09359696425296e-15","0","0","2.16884513173925e-14","0","0","0"
"306","0","0.994922165786484","0.994922165786484","0","0","0","0","0","0","0.994922165786485"
"307","0.582113126554483","0.582113126554483","0.582113126554487","0","0","0","0","0","0","0"
"308","1.12727401441497e-14","0","0","7.66866591606076e-15","0","0","3.09042152818274e-14","0","0","0"
"309","0","1.88414462020016e-14","0","0.550186863243915","0","0","0","0","1.7329333246545e-14","0"
"310","0","0","2.7791337863449e-15","0","0","0","0","5.39196359861973e-15","0","5.69807844421513e-15"
"311","0","2.12611108091777","2.12611108091777","0","0","0","0","0","2.12611108091777","0"
"312","0","0","0","0","0","0","0","6.05325728365972e-15","0","0"
"313","0","0","0.594012531824012","0","0.594012531824012","0","0","0","0","0"
"314","0","0","3.65354773242807e-15","0","0","5.75290968545803e-15","0","0","0","5.69241805399074e-15"
"315","2.42817491350964e-15","0","0","0","0","0","0","5.4422897960914e-15","4.28123858143672e-15","0"
"316","0","3.36863701437386e-15","0","0","0","2.81589820771333e-15","3.18206896810258e-15","0","0","0"
"317","0","1.93356351328502e-14","0","2.22516592923053e-15","0","0","0","1.71107646352841e-14","0","0"
"318","0.670837443577294","0.670837443577294","0.49449863520484","0","0","0","0","0","0","0"
"319","2.04396171715588","0","0","1.48005122511138","1.48005122511138","0","0","0","0","0"
"320","0","0","0","0","0","3.57042946604514e-14","5.93600798006305e-14","0","2.90652668981126e-14","0"
"321","0","0","0","0","3.28152773666129e-15","3.3939288189921e-15","8.78682470503327e-15","0","0","0"
"322","4.09024757178516e-15","0","0","3.54809892698328e-15","0","0","7.92901631909262e-15","0","0","0"
"323","0","0","0","0","1.14823547078238e-14","1.54564330978977e-14","2.80224276463015e-14","0","0","0"
"324","0","0","0","1.03238411034637","0","0","3.52654441876416e-14","0","0","1.00975693386979e-14"
"325","0.282392599800772","0.28239259980077","0","0","0","0","0","1.43875663309629e-14","0","0"
"326","0","0","0","0","0","1.31919664313022e-14","2.69488718432941e-14","0","0","9.50161676082491e-15"
"327","9.91812416087203e-16","0","0","0","0","0","0","0","0","0"
"328","0","3.65048955252088e-14","1.16496834472292e-15","0","0","0","0","1.66629533899945e-14","0","0"
"329","0","0","0","0","0","0.953244981996761","0","0","0","0"
"330","3.18013001656297e-15","0","0","0","0","0","1.29773235606208e-14","3.60122522196293e-15","0","0"
"331","0","0","0","0","1.22300421115349e-16","0","0","0","0","6.40902656055734e-17"
"332","0","0","0","3.78273159774592e-15","0","1.32278055479449e-14","0","0","9.63072689882595e-15","0"
"333","8.06202963455561e-15","0","0","0","1.3903866161747e-14","0","0","1.47310830949341e-14","0","0"
"334","0","0","2.43915305588988","2.55629541023768","0","0","0","0","0","0.198559486257634"
"335","2.35003712201594","2.35003712201595","0","0","0","0","0","0","0","2.35003712201594"
"336","5.06226239443475e-15","0","0","3.62130205269944e-15","0","0","1.53084166384354e-14","0","0","0"
"337","1.4369472621524e-15","0","0","0","2.00302585428544e-15","0","0","2.69460652860398e-15","0","0"
"338","3.6670653123204e-15","0","0","0","0","0","1.6922456281286e-14","0","0","3.22969044511162e-15"
"339","0","0","3.07509918746783e-15","0","0","5.45198921176898e-15","0","0","0","6.00825164026737e-15"
"340","0","0","0","4.38413893454927","4.38413893454927","0","1.40670167270061e-14","0","0","0"
"341","0","0","0","0","0","0","0","0","0","0"
"342","0","5.72952865402449","0","0","1.1459057308049","0","0","0","1.1459057308049","0"
"343","0","0","2.90323122245419e-15","0","0","0","1.59299032547296e-14","0","3.95470513554647e-15","0"
"344","1.78598976483093","0","1.78598976483094","0","0","0","0","9.00241797048556e-15","0","0"
"345","4.5423075430115","4.5423075430115","4.5423075430115","0","0","0","0","0","0","0"
"346","0","0","3.09913292120773e-15","0","0","8.00736681601874e-15","0","0","5.02184431433983e-15","0"
"347","0","0","2.16355769432744e-15","1.79911981258068e-15","0","0","0","1.34053869408809e-15","0","0"
"348","0","0","0","0","0","0","0","8.1699698611945e-15","0","0"
"349","9.66897491197751e-15","0","1.63164093374173","0","0","0","0","6.65439907172132e-15","0","0"
"350","0","0","0","0","6.64819433885943e-15","0","0","7.89041800720513e-15","0","5.99004664517454e-15"
"351","0","5.16015836313119e-15","0","0","0","0","9.87526782269653e-15","0","0","2.62774426868513e-15"
"352","0","0","0","0","0.252822809021474","0","0","0","0.252822809021474","0.321550576152224"
"353","0","0","0.989083762687166","0","0","0","1.61329996629292e-14","0","4.70030173376774e-15","0"
"354","0","0","0","0","0","1.56974152318431e-14","2.14010469818516e-14","0","1.32711681386512e-14","0"
"355","0","0","0","7.93112899918853e-15","0","0","0","1.55697805421529e-14","0","1.34246429029781e-14"
"356","0","7.51531181604231e-15","0","0","0","0","1.13239233960123e-14","0","6.09090666831418e-15","0"
"357","8.7604249651559e-16","0","0","0","1.49080995423704e-15","1.53733832997757e-15","0","0","0","0"
"358","0","0","0","0","0","3.05764685226088e-14","5.30126599840628e-14","0","2.35951048650663e-14","0"
"359","0","0","0","0","2.49201727962106","4.98403455924213","0","0","2.49201727962106","0"
"360","0","0.150775128495369","0","0.338816759352854","0.338816759352854","0","0","0","0","0"
"361","0","3.37145251477668","0","0","0.674290502955337","1.34858100591067","0","0","0","0"
"362","0","1.82706225497878e-14","0","0","0","0","0","0","0","0"
"363","3.27844313543661e-15","0","0","2.53148541070363e-15","0","0","0","0","2.53001843005173e-15","0"
"364","0","0","0.347614727422546","0.347614727422542","0","0","0","0","0","1.53429101656365e-14"
"365","0","0","0","1.03170120558291","1.03170120558291","0","0","5.25019309122299e-15","0","0"
"366","2.31424792774298e-15","0","0","0","1.65581000239627e-15","0","4.62952248896321e-15","0","0","0"
"367","0","0.308564858027946","0","0","0.901801996570078","0","0","0.123425943211175","0","0"
