"","Aa","Ad","Ca","Mea","Med","AaAa","AaAd","AdAd","CaAa","CaAd"
"192","-5.00000000000001","0","0","0","-5","0","0","5.00000000000001","0","0"
"193","0","5","5.00000000000001","4.99999999999999","0","0","0","0","0","0"
"194","0","11.100943582794","0","0","0","7.44037743311759","0","2.55962256688243","0","0"
"195","0","-5","0","-5","0","0","5","0","0","0"
"196","0","-4.99999999999999","0","0","0","0","4.99999999999999","-5","0","0"
"197","-0.0829841894913177","0.082984189491318","0","0","0","0","0","0","0.0829841894913173","0"
"198","0","0","0","-5","0","-5","0","-5","0","0"
"199","-5","0","0","-5","0","0","0","0","0","5"
"200","-5.00000000000001","0","-5","0","0","0","0","0","5","0"
"201","0","0","0.633389933237607","9.36661006676239","0","0","0","0","-5","0"
"202","0","0","0","0","0","4.99999999999999","5.00000000000001","0","5.00000000000001","0"
"203","4.99999999999999","0","0","0","0","4.99999999999999","0","0","5","0"
"204","0","0","0","-5","0","0","0","5","0","-5"
"205","0","0","5.45423268675355e-17","0","0","0","0","0","-1.76780699395887e-16","0"
"206","0","0","5","0","0","0","0","5.00000000000001","0","-4.99999999999999"
"207","4.78282525934718","-4.78282525934718","0","0","0","0","-5.00000000000003","0","0","0"
"208","0","0","0","0","5","5","-5.00000000000001","0","0","0"
"209","-1.2704943176023","9.91802272959082","0","0","0","0","0","0","0","-1.27049431760229"
"210","0","0","5.07095789154392","4.92904210845607","0","0","-5","0","0","0"
"211","0","-4.17250918506293","0","0","0","0","0","0","-4.17250918506292","-5.82749081493709"
"212","0","0","0","0.679941695483303","-9.32005830451669","0","0","0","5","0"
"213","0","0","0","0","-5","5","5","0","0","0"
"214","0","-4.63373662510987","0","0","0","0","0","0","5.36626337489012","-5.36626337489012"
"215","0","0","0","10","0","5","0","0","0","0"
"216","0","0","5","0","0","5","4.99999999999999","0","0","0"
"217","0","0","0","-7.18408177556515","2.81591822443484","5","0","0","0","0"
"218","-2.89499599691893e-15","0","0","0","0","0","0","0","-2.28481458308506e-16","4.54431181034695e-17"
"219","0","0","-9.33141468619871","0","-0.668585313801291","0","0","0","5","0"
"220","0","0","0","0","0","0","-5","-5","0","-5"
"221","0","0","0","5","0","4.99999999999999","5.00000000000001","0","0","0"
"222","0","0","0","0","-5","5","5","0","0","0"
"223","0","6.71044610021543","0","3.91997779250362","0","0","0","0","-5.01924887631657","0"
"224","0","5.00000000000001","0","0","5","0","-4.99999999999999","0","0","0"
"225","-5","0","0","0","0","5.00000000000001","0","0","-5","0"
